recipe_id,recipe_name,ingredients,cuisine,veg_nonveg,instructions,prep_time,difficulty,category,calories
12,Chicken Tacos,"Tortilla, chicken, oil, onion, tomato, garlic, cumin powder, chili powder, salt, cheese, coriander leaves",Mexican,non-veg,"Heat oil in a pan on medium heat and saut chopped garlic and onion until soft. Add chicken pieces, cumin powder, chili powder, and salt and cook until chicken is fully cooked and lightly browned. Warm tortillas on a separate pan. Fill tortillas with chicken, tomato, and cheese. Garnish with coriander, fold, and serve hot.",20,Easy,dinner,480
13,Guacamole,"Cooked avocado, onion, tomato, lemon juice, salt, black pepper, coriander leaves, cumin powder (optional)",Mexican,veg,"Mash ripe avocado in a bowl until smooth. Add finely chopped onion, tomato, and coriander leaves and mix well. Add lemon juice, salt, black pepper, and a pinch of cumin powder if using, and stir until well combined. Taste and adjust seasoning with more salt or lemon juice as needed. Serve immediately with tortilla chips or as a sandwich spread.",10,Easy,dinner,250
14,Vegetable Sandwich,"Bread slices, butter, carrot, cucumber, tomato, lettuce, cheese, salt, black pepper",Continental,veg,"Spread butter evenly on each bread slice. Layer thinly sliced carrot, cucumber, tomato, lettuce, and cheese between the slices. Sprinkle a little salt and black pepper on the vegetables. Grill or toast the sandwich on a pan or sandwich maker until the bread is golden and the cheese melts slightly. Cut the sandwich into halves or desired shapes and serve warm.",15,Easy,breakfast,330
15,Grilled Chicken Sandwich,"Bread slices, chicken, butter, cheese, lettuce, tomato, onion, mayonnaise, salt, black pepper, olive oil",Continental,non-veg,"Season chicken with salt and black pepper and cook in a pan with a little olive oil until fully cooked. Slice the cooked chicken thinly. Butter bread slices evenly on one side. Place lettuce, tomato slices, onion slices, and the cooked chicken on one slice of bread. Add cheese and a thin layer of mayonnaise, then cover with the second slice of bread. Grill the sandwich on a pan or sandwich maker until the bread is crisp and golden and the cheese melts. Cut into halves and serve hot.",20,Medium,breakfast,480
16,Vegetable Soup,"Carrot, beans, onion, garlic, oil, celery, potato, salt, black pepper, parsley, water, vegetable stock cube (optional)",Continental,veg,"Heat oil in a pot on medium heat and saut chopped onion, garlic, and celery until fragrant. Add chopped carrot, beans, and potato and cook briefly for 23 minutes. Pour in water (and vegetable stock if using) and bring to a boil. Reduce heat and simmer on low for 15 to 20 minutes until vegetables are soft. Season with salt, black pepper, and chopped parsley. Serve hot.",25,Easy,lunch,170
17,Chicken Soup,"Chicken, onion, garlic, oil, carrot, celery, salt, black pepper, parsley, bay leaf, water, chicken stock cube (optional)",Continental,non-veg,"Heat oil in a pot on medium heat and saut chopped onion, garlic, carrot, and celery until fragrant. Add chicken pieces and cook briefly until lightly browned. Pour in water (and chicken stock if using) and add a bay leaf. Bring to a boil. Reduce heat and simmer for 20 to 25 minutes until chicken is fully cooked and vegetables are tender. Season with salt, black pepper, and chopped parsley. Remove bay leaf and serve hot.",30,Easy,lunch,320
18,Hummus,"Cooked chickpeas, garlic, olive oil, lemon juice, tahini, salt, black pepper, cumin powder (optional), paprika, water",Middle Eastern,veg,"Place cooked chickpeas, chopped garlic, tahini, olive oil, lemon juice, salt, and a pinch of cumin powder in a blender. Blend until smooth and creamy, adding a little water if needed for consistency. Taste and adjust seasoning with more salt or lemon juice if necessary. Transfer to a serving bowl, drizzle with olive oil and sprinkle paprika on top. Serve fresh with pita bread or vegetables.",10,Easy,dinner,250
19,Falafel,"Chickpeas, onion, garlic, cumin powder, coriander powder, chili powder, salt, baking powder, oil, parsley, coriander leaves",Middle Eastern,veg,"Soak chickpeas overnight and drain. Grind chickpeas with chopped onion, garlic, cumin powder, coriander powder, chili powder, salt, baking powder, parsley, and coriander leaves to form a coarse paste. Shape the mixture into small balls or patties. Heat oil in a pan and deep fry or shallow fry the balls until golden brown and crisp. Drain excess oil on paper towels and serve hot with dipping sauce.",30,Medium,dinner,250
20,Shakshuka,"Eggs, tomato, onion, garlic, oil, bell pepper, cumin powder, paprika, chili powder, salt, black pepper, parsley",Middle Eastern,non-veg,"Heat oil in a pan on medium heat and saut chopped onion, garlic, and bell pepper until soft. Add chopped tomatoes, cumin powder, paprika, chili powder, salt, and black pepper and cook until the sauce thickens slightly. Make small wells in the sauce and crack eggs into the wells. Cover the pan and cook on low heat until eggs are set to your preference. Garnish with chopped parsley and serve hot.",25,Medium,dinner,400
21,Mushroom Stir Fry,"Mushrooms, onion, garlic, oil, soy sauce, black pepper, spring onions (optional), sesame seeds (optional)",Chinese,veg,Heat oil in a pan on medium heat and saut chopped onion and garlic until fragrant. Add sliced mushrooms and stir-fry for 45 minutes until soft but not soggy. Add soy sauce and black pepper and toss to coat evenly. Garnish with chopped spring onions and sesame seeds if desired. Serve hot.,15,Easy,dinner,250
22,Fish Curry,"Fish fillets, onion, tomato, garlic, ginger, oil, turmeric, chili powder, coriander powder, cumin powder, salt, black pepper, fresh coriander, water",Indian,non-veg,"Heat oil in a pan and saut chopped onion, garlic, and ginger until golden. Add turmeric, chili powder, coriander powder, cumin powder, and salt and cook for 1 minute. Add chopped tomatoes and cook until soft and oil separates. Gently place fish fillets into the sauce and add a little water. Simmer on low heat for 810 minutes until fish is fully cooked. Garnish with chopped coriander and serve hot with rice or bread.",35,Medium,dinner,400
23,Vegetable Upma,"Semolina (rava), onion, carrot, green peas, green chili, ginger, curry leaves, oil, salt, mustard seeds, water, coriander leaves",Indian,veg,"Heat oil in a pan and add mustard seeds. Once they splutter, add chopped onion, green chili, ginger, and curry leaves. Sauteee until onion turns soft. Add chopped carrot and peas and cook for 23 minutes. Roast semolina separately for 23 minutes until light golden. Boil water in a pot with salt, then slowly add roasted semolina while stirring to avoid lumps. Cook on low heat until thick and soft. Garnish with chopped coriander leaves and serve hot.",20,Easy,dinner,250
24,Chicken Biryani,"Basmati rice, chicken, onion, garlic, ginger, yogurt, garam masala, turmeric, chili powder, coriander powder, cumin seeds, oil, salt, saffron (optional), water, fresh coriander and mint leaves",Indian,non-veg,"Marinate chicken with yogurt, turmeric, chili powder, coriander powder, cumin, and salt for at least 30 minutes. Cook onions until golden and saut garlic and ginger paste. Add marinated chicken and cook until partially done. Boil basmati rice until 70% cooked. Layer rice and chicken in a deep pan, sprinkle garam masala, saffron, and fresh coriander and mint leaves. Cover and cook on low heat (dum) for 20 to 25 minutes until chicken and rice are fully cooked. Serve hot.",50,Medium,dinner,400
25,Vegetable Korma,"Carrot, beans, potato, onion, peas, cream, cashew paste, oil, cumin seeds, turmeric, chili powder, coriander powder, garam masala, salt, water, fresh coriander",Indian,veg,"Heat oil in a pan and add cumin seeds. Sauteee chopped onion until soft. Add turmeric, chili powder, coriander powder, and salt. Cook for 12 minutes. Add chopped vegetables and mix well. Cover and cook on low heat for 10 minutes. Add cream and cashew paste, stir gently, and simmer for 57 minutes until vegetables are tender. Sprinkle garam masala and garnish with fresh coriander. Serve hot.",40,Medium,dinner,250
26,Tomato Soup,"Tomato, onion, garlic, olive oil, salt, black pepper, sugar (optional), basil leaves, water, cream (optional)",Continental,veg,"Heat oil in a pot and saut chopped onion and garlic until soft. Add chopped tomatoes and cook for 57 minutes until soft. Add water and bring to a boil. Reduce heat and simmer for 10 minutes. Blend the mixture until smooth. Return to pot, add salt, black pepper, sugar if needed, and simmer for 23 minutes. Add cream if desired. Garnish with basil leaves and serve hot.",20,Easy,lunch,170
27,Garlic Bread,"Bread slices, butter, garlic, parsley (optional), salt, black pepper, olive oil",Italian,veg,"Preheat oven or toaster. Mix softened butter with minced garlic, chopped parsley, salt, and black pepper. Spread garlic butter evenly on bread slices. Toast or bake slices until golden and crisp. Serve hot.",10,Easy,dinner,250
28,Chicken Pizza,"Pizza base, chicken, tomato sauce, mozzarella cheese, olive oil, onion, bell pepper, salt, black pepper, Italian herbs",Italian,non-veg,"Preheat oven to 200C. Spread tomato sauce evenly on the pizza base. Add cooked chicken pieces, sliced onion, bell pepper, and sprinkle salt, black pepper, and Italian herbs. Cover with mozzarella cheese and drizzle olive oil on top. Bake for 1215 minutes until cheese melts and crust is crisp. Serve hot.",30,Medium,dinner,480
29,Vegetable Lasagna,"Lasagna sheets, tomato, carrot, beans, zucchini, bell pepper, mozzarella cheese, ricotta cheese, olive oil, salt, black pepper, Italian herbs",Italian,veg,"Preheat oven to 180C. Boil lasagna sheets until al dente. Sauteee chopped vegetables in olive oil with salt, black pepper, and Italian herbs until slightly soft. Layer lasagna sheets, vegetable mixture, ricotta, and mozzarella in a baking dish. Repeat layers. Top with mozzarella cheese and bake for 3035 minutes until golden and bubbling. Serve hot.",45,Medium,dinner,430
30,Schezwan Chicken,"Chicken, garlic, oil, soy sauce, Schezwan sauce, green chili, bell pepper, onion, salt, black pepper",Chinese,non-veg,"Heat oil in a wok on high heat and saut minced garlic until fragrant. Add chicken pieces and stir-fry until lightly browned. Add chopped onion, bell pepper, and green chili and stir-fry for 23 minutes. Add soy sauce, Schezwan sauce, salt, and black pepper and toss everything to coat the chicken evenly. Cook for another 34 minutes until chicken is fully cooked. Serve hot.",30,Medium,dinner,400
31,Vegetable Dumplings,"All-purpose flour, water, cabbage, carrot, garlic, spring onion, soy sauce, sesame oil, salt, black pepper, oil",Chinese,veg,"Prepare dough by mixing flour and water until smooth. Let it rest for 15 to 20 minutes. Finely chop cabbage, carrot, garlic, and spring onions. Mix with soy sauce, sesame oil, salt, and black pepper to make filling. Roll dough into small circles, place 12 teaspoons of filling in the center, and fold into dumplings. Heat water in a steamer and steam dumplings for 810 minutes until cooked. Serve hot with soy sauce or chili sauce.",35,Medium,snack,250
32,Chicken Dumplings,"All-purpose flour, water, chicken, garlic, ginger, soy sauce, sesame oil, spring onion, salt, black pepper, oil",Chinese,non-veg,"Prepare dough by mixing flour and water until smooth. Rest for 15 to 20 minutes. Finely chop chicken, garlic, ginger, and spring onions. Mix with soy sauce, sesame oil, salt, and black pepper to make filling. Roll dough into small circles, place filling in center, and fold into dumplings. Steam dumplings for 10 to 12 minutes until chicken is fully cooked. Serve hot with chili sauce or soy sauce.",35,Medium,snack,400
33,Bean Burrito,"Tortilla, cooked beans, onion, tomato, cheese, olive oil, chili powder, cumin powder, salt, black pepper, lettuce, sour cream (optional)",Mexican,veg,"Heat a pan with a little olive oil and saut chopped onion and tomato until soft. Add cooked beans, chili powder, cumin, salt, and black pepper. Cook for 23 minutes. Warm tortillas on a pan. Place a portion of the bean mixture on the tortilla, sprinkle grated cheese, and add lettuce and sour cream if desired. Roll the tortilla tightly and serve hot.",20,Easy,dinner,330
34,Chicken Burrito,"Tortilla, chicken, onion, tomato, cheese, olive oil, chili powder, cumin powder, salt, black pepper, lettuce, sour cream (optional)",Mexican,non-veg,"Heat oil in a pan and saut chopped onion until soft. Add chicken pieces, chili powder, cumin, salt, and black pepper. Cook until chicken is fully done. Warm tortillas on a pan. Place chicken mixture on the tortilla, add tomato slices, cheese, lettuce, and sour cream if desired. Roll the tortilla tightly and serve hot.",25,Easy,dinner,480
35,Nachos,"Corn chips, shredded cheese, tomato, onion, jalapeno (optional), chili powder, salt, black pepper, sour cream (optional), coriander leaves (optional)",Mexican,veg,"Preheat oven to 180C. Arrange corn chips evenly on a baking tray. Top with chopped tomato, onion, and jalapeno if using. Sprinkle shredded cheese, chili powder, salt, and black pepper evenly. Bake for 810 minutes until cheese melts. Garnish with sour cream and coriander leaves if desired. Serve hot.",15,Easy,dinner,330
36,Greek Salad,"Cucumber, tomato, onion, olive oil, feta cheese, black olives, salt, black pepper, lemon juice, oregano",Continental,veg,"Chop cucumber, tomato, and onion into bite-sized pieces. Crumble feta cheese over the vegetables and add black olives. Drizzle olive oil and lemon juice. Season with salt, black pepper, and oregano. Toss gently and serve fresh.",10,Easy,dinner,330
37,Grilled Fish,"Fish fillets, olive oil, garlic, lemon juice, salt, black pepper, paprika, parsley (optional)",Continental,non-veg,"Marinate fish fillets with minced garlic, lemon juice, olive oil, salt, black pepper, and paprika for 15 to 20 minutes. Preheat grill or oven to 200C. Place fish on the grill or baking tray and cook for 57 minutes on each side until fully cooked and lightly charred. Garnish with chopped parsley and serve hot.",25,Easy,dinner,400
38,Vegetable Omelette,"Eggs, onion, carrot, bell pepper, salt, black pepper, oil, milk (optional), parsley (optional)",Continental,non-veg,"Beat eggs in a bowl with a little salt, black pepper, and milk if using. Chop onion, carrot, and bell pepper finely. Heat oil in a pan and saut vegetables briefly. Pour beaten eggs over the vegetables and cook on medium-low heat until set. Flip carefully to cook the other side if desired. Garnish with parsley and serve hot.",10,Easy,dinner,400
39,Shawarma Wrap,"Flatbread, chicken, onion, garlic, olive oil, paprika, cumin powder, chili powder, salt, black pepper, lettuce, tomato, yogurt sauce (optional)",Middle Eastern,non-veg,"Mix chicken with paprika, cumin, chili powder, salt, black pepper, and olive oil. Heat a pan and cook chicken until fully done. Warm flatbread on a pan. Place cooked chicken, sliced onion, tomato, and lettuce on flatbread. Add yogurt sauce if desired, roll tightly, and serve hot.",30,Medium,snack,400
40,Vegetable Shawarma,"Flatbread, carrot, cabbage, onion, garlic, bell pepper, olive oil, paprika, cumin powder, salt, black pepper, lettuce, yogurt sauce (optional)",Middle Eastern,veg,"Chop carrot, cabbage, onion, garlic, and bell pepper finely. Heat olive oil in a pan and saut garlic and onion until fragrant. Add remaining vegetables, paprika, cumin, salt, and black pepper. Cook for 45 minutes until slightly soft. Warm flatbread on a pan. Place cooked vegetables and lettuce on flatbread, add yogurt sauce if desired. Roll tightly and serve hot.",25,Easy,dinner,250
41,Lentil Soup,"Lentils (red or yellow), onion, garlic, carrot, celery (optional), olive oil, salt, black pepper, cumin powder, turmeric, water, lemon juice, fresh coriander",Middle Eastern,veg,"Rinse lentils thoroughly. Heat olive oil in a pot and saut chopped onion, garlic, carrot, and celery until soft. Add cumin powder, turmeric, salt, and black pepper, and saut for 1 minute. Add lentils and water (about 3 cups). Bring to a boil, then simmer on low heat for 20 to 25 minutes until lentils are fully cooked and soft. Adjust consistency with water if needed. Blend partially or fully for a smooth texture. Add lemon juice, garnish with chopped coriander, and serve hot.",30,Easy,lunch,170
42,Chicken Kebab,"Chicken pieces (boneless), garlic, ginger, yogurt, chili powder, cumin powder, coriander powder, paprika, salt, black pepper, olive oil, lemon juice",Middle Eastern,non-veg,"Mix chicken with minced garlic, ginger, yogurt, chili powder, cumin, coriander, paprika, salt, black pepper, olive oil, and lemon juice. Marinate for at least 1 hour or overnight for best flavor. Preheat grill or oven to 200C. Thread chicken pieces onto skewers. Grill for 810 minutes on each side until fully cooked and slightly charred. Serve hot with salad or yogurt sauce.",35,Medium,dinner,400
43,Vegetable Curry,"Carrot, beans, potato, onion, garlic, oil, turmeric, chili powder, coriander powder, cumin powder, garam masala, salt, water, fresh coriander",Indian,veg,"Heat oil in a pan and saut chopped onion and garlic until soft. Add turmeric, chili powder, coriander powder, cumin powder, and salt. Cook for 12 minutes. Add chopped carrots, beans, and potato. Mix well. Pour in enough water to cover vegetables. Cover and simmer for 15 to 20 minutes until vegetables are tender. Sprinkle garam masala and garnish with fresh coriander. Serve hot with rice or roti.",30,Easy,dinner,250
44,Chicken Stir Fry,"Chicken breast, onion, garlic, bell pepper, soy sauce, olive oil, salt, black pepper, chili flakes (optional), spring onion for garnish",Chinese,non-veg,"Cut chicken into thin strips. Heat olive oil in a wok on high heat. Add minced garlic and sliced onion, stir-fry for 12 minutes until fragrant. Add chicken strips and cook for 56 minutes until lightly browned. Add sliced bell pepper, soy sauce, salt, black pepper, and chili flakes if using. Stir-fry for 23 more minutes until chicken is fully cooked and vegetables are crisp-tender. Garnish with chopped spring onion and serve hot.",25,Easy,dinner,400
45,Vegetable Cutlet,"Potato, carrot, peas, green beans, onion, garlic, breadcrumbs, cornflour, oil, salt, black pepper, chili powder, coriander leaves",Indian,veg,"Boil and mash potatoes. Steam or boil carrots, peas, and beans and chop finely. Mix mashed potatoes with vegetables, chopped onion, garlic, cornflour, salt, black pepper, chili powder, and coriander leaves. Shape mixture into small patties. Coat with breadcrumbs. Heat oil in a pan and shallow fry cutlets on medium heat until golden brown on both sides. Serve hot with chutney or sauce.",30,Easy,dinner,250
46,Chicken Cutlet,"Chicken breast, boiled potato, onion, garlic, breadcrumbs, cornflour, oil, salt, black pepper, chili powder, egg",Indian,non-veg,"Boil and shred chicken. Mash boiled potato. Mix chicken, mashed potato, chopped onion, minced garlic, salt, black pepper, and chili powder. Shape mixture into small patties. Coat with beaten egg and then breadcrumbs. Heat oil in a pan and shallow fry cutlets on medium heat until golden brown on both sides. Serve hot.",35,Medium,dinner,400
47,Pancakes,"All-purpose flour, milk, egg, butter, sugar, baking powder, salt, vanilla essence (optional), honey or syrup (optional)",Continental,veg,"In a bowl, mix flour, baking powder, sugar, and salt. In another bowl, whisk egg with milk and melted butter. Add vanilla essence if using. Combine wet and dry ingredients and mix until smooth, avoiding lumps. Heat a non-stick pan on medium heat and grease lightly with butter. Pour batter onto pan and cook until bubbles appear on the surface, then flip and cook the other side until golden. Serve hot with honey, syrup, or fruits.",20,Easy,dinner,250
48,Fruit Salad,"Apple, banana, orange, grapes, kiwi (optional), honey or lemon juice, mint leaves (optional)",Continental,veg,Wash and peel fruits if necessary. Chop all fruits into bite-sized pieces. Mix gently in a bowl. Add a little honey or lemon juice to enhance flavor. Garnish with mint leaves if desired. Serve fresh chilled.,10,Easy,dinner,250
49,Chicken Fried Rice,"Cooked rice, chicken breast, garlic, onion, soy sauce, oil, green peas, carrot, black pepper, spring onion for garnish",Chinese,non-veg,"Heat oil in a wok on high heat. Add minced garlic and chopped onion, saut until fragrant. Add chicken pieces and cook until lightly browned. Add chopped carrot and green peas, stir-fry for 23 minutes. Add cooked rice and soy sauce, tossing everything well for 34 minutes until heated through. Season with black pepper and garnish with spring onion. Serve hot.",25,Easy,lunch,400
50,Vegetable Poha,"Flattened rice (poha), onion, green peas, carrot, green chili, curry leaves, mustard seeds, turmeric, oil, salt, lemon juice, coriander leaves",Indian,veg,"Rinse poha under water and drain completely. Heat oil in a pan and add mustard seeds. Once they splutter, add curry leaves, chopped onion, green chili, and carrot. Sauteee until onion is soft. Add green peas, turmeric, and salt. Mix well. Add drained poha and toss gently to combine. Cook for 23 minutes on low heat. Add lemon juice and garnish with coriander leaves. Serve hot.",15,Easy,dinner,250
51,Vegetable Khichdi,"Rice, split yellow lentils (moong dal), carrot, peas, beans (optional), ginger, green chili, cumin seeds, turmeric, oil or ghee, salt, water, coriander leaves",Indian,veg,"Rinse rice and lentils thoroughly. Chop carrot and beans into small pieces. Heat oil or ghee in a pressure cooker or pot. Add cumin seeds, chopped ginger, and green chili. Sauteee for 12 minutes. Add chopped vegetables, turmeric, and salt. Stir for 2 minutes. Add rice and lentils, pour water (about 3 cups for 1 cup rice and 1/2 cup lentils), mix well. Cook covered on low heat for 20 to 25 minutes or pressure cook for 23 whistles until rice and lentils are soft. Garnish with chopped coriander and serve hot with yogurt or pickle.",30,Easy,dinner,250
52,Chicken Khichdi,"Rice, split yellow lentils (moong dal), chicken pieces, ginger, garlic, green chili, cumin seeds, turmeric, oil, salt, water, coriander leaves",Indian,non-veg,"Heat oil in a pressure cooker or pot. Add cumin seeds, chopped ginger, garlic, and green chili. Sauteee until aromatic. Add chicken pieces, turmeric, and salt. Cook for 56 minutes until chicken changes color. Add rice and lentils, pour water (about 34 cups), mix well. Cook on low heat for 25 to 30 minutes or pressure cook for 34 whistles until chicken, rice, and lentils are soft. Garnish with coriander and serve hot.",40,Medium,dinner,400
53,Vegetable Paratha,"Whole wheat flour, boiled potato, carrot, peas (optional), onion, green chili, coriander leaves, salt, black pepper, oil or ghee",Indian,veg,"Prepare dough by mixing flour with water and a pinch of salt. Rest for 20 minutes. Boil and mash potato. Grate carrot and mix with mashed potato, chopped onion, green chili, coriander, salt, and pepper to make filling. Roll dough into small circles, place filling in center, fold edges, and roll again gently. Heat a pan and cook paratha on medium heat with oil or ghee until golden and crisp on both sides. Serve hot with yogurt or pickle.",30,Medium,dinner,250
54,Chicken Paratha,"Whole wheat flour, chicken, onion, green chili, garlic, coriander leaves, salt, black pepper, oil or ghee",Indian,non-veg,"Prepare dough by mixing flour with water and salt. Rest for 20 minutes. Cook chicken with chopped onion, garlic, green chili, coriander, salt, and pepper until fully done. Let it cool. Roll dough into small circles, place chicken filling in center, fold edges, and roll gently again. Heat pan and cook paratha with oil or ghee until golden brown on both sides. Serve hot with chutney or yogurt.",35,Medium,dinner,400
55,Vegetable Idli,"Parboiled rice, split urad dal (lentils), carrot, beans, green chili, ginger, salt, oil (for greasing idli molds), water",Indian,veg,"Soak rice and urad dal separately for 45 hours. Grind urad dal to smooth batter and rice to coarse batter. Mix both batters with salt, cover, and ferment for 810 hours. Chop carrot, beans, green chili, and ginger finely and mix into batter. Grease idli molds with oil. Pour batter into molds. Steam in an idli steamer or pressure cooker (without whistle) for 10 to 12 minutes until cooked. Remove and serve hot with coconut chutney or sambar.",40,Medium,dinner,250
56,Chicken Stew,"Chicken pieces, onion, garlic, carrot, potato, beans (optional), oil, salt, black pepper, bay leaf, cinnamon stick, water, coriander for garnish",Indian,non-veg,"Heat oil in a pot. Sauteee chopped onion and garlic until soft. Add chicken pieces, salt, black pepper, bay leaf, and cinnamon stick. Cook for 56 minutes. Add chopped carrot, potato, and beans. Pour water to cover all ingredients. Bring to boil, then simmer on low heat for 20 to 25 minutes until chicken and vegetables are tender. Garnish with fresh coriander and serve hot with bread or rice.",35,Easy,dinner,400
57,Vegetable Dosa,"Parboiled rice, split urad dal, oil, salt, carrot, beans, onion, green chili, coriander leaves (optional)",Indian,veg,"Soak rice and urad dal for 45 hours. Grind to smooth batter, mix, and ferment for 8 hours. Chop carrot, beans, onion, and green chili finely. Mix into batter or use as filling. Heat a non-stick pan or tawa. Pour a ladleful of batter and spread thinly. Drizzle oil around edges. Cook on medium heat until edges lift and base is crisp. Flip if desired. Serve hot with chutney or sambar.",25,Easy,dinner,250
